title,rating,critics_consensus,synopsis,cast,director
Ghostlight (2024),  99%,"Critics Consensus: A small film that elicits a huge emotional response, Ghostlight is a deeply moving and superbly acted meditation on grief.","Synopsis: When melancholic construction worker Dan (Keith Kupferer) finds himself drifting from his wife and daughter, he discovers community and purpose... [More]","Starring: Keith Kupferer, Katherine Mallen Kupferer, Tara Mallen, Dolly De Leon","Directed By: Kelly O'Sullivan, Alex Thompson"
Borderlands (2024),  10%,"Critics Consensus: Glitching out in every department, Borderlands is balderdash.","Synopsis: Lilith (Cate Blanchett), an infamous bounty hunter with a mysterious past, reluctantly returns to her home, Pandora, the most chaotic... [More]","Starring: Cate Blanchett, Kevin Hart, Jack Black, Jamie Lee Curtis",Directed By: Eli Roth
Deadpool & Wolverine (2024),  79%,"Critics Consensus: Ryan Reynolds makes himself at home in the MCU with acerbic wit while Hugh Jackman provides an Adamantium backbone to proceedings in Deadpool & Wolverine, an irreverent romp with a surprising soft spot for a bygone era of superhero movies.",Synopsis: Deadpool's peaceful existence comes crashing down when the Time Variance Authority recruits him to help safeguard the multiverse. He soon... [More],"Starring: Ryan Reynolds, Hugh Jackman, Emma Corrin, Morena Baccarin",Directed By: Shawn Levy
Kinds of Kindness (2024),  71%,"Critics Consensus: A cold-hearted triptych brimming with caustic wit, Kinds of Kindness is Yorgos Lanthimos at his most misanthropic -- and bitingly funny.","Synopsis: KINDS OF KINDNESS is a triptych fable, following a man without choice who tries to take control of his own... [More]","Starring: Emma Stone, Jesse Plemons, Willem Dafoe, Margaret Qualley",Directed By: Yorgos Lanthimos
Hit Man (2023),  95%,"Critics Consensus: A deceptively dark thriller that's also loaded with laughs, Hit Man is an outstanding showcase for leading man Glen Powell -- and one of the most purely entertaining films of Richard Linklater's career.","Synopsis: Oscar-nominated director Richard Linklater's sunlit neo-noir stars Glen Powell as strait-laced professor Gary Johnson, who moonlights as a fake hit... [More]","Starring: Glen Powell, Adria Arjona, Austin Amelio, Retta",Directed By: Richard Linklater
The Crow (2024),  23%,"Critics Consensus: Dreary and poorly paced, this reimagining of The Crow doesn't have enough personality or pulse to merit the resurrection.",Synopsis: Bill Skarsgård takes on the iconic role of THE CROW in this modern reimagining of the original graphic novel by... [More],"Starring: Bill Skarsgård, FKA Twigs, Danny Huston, Laura Birn",Directed By: Rupert Sanders
It Ends With Us (2024),  57%,"Critics Consensus: Earnestly performed if marred by clunky dialogue, It Ends With Us is surprisingly at its most graceful when handling the more provocative elements of its melodramatic source material.","Synopsis: IT ENDS WITH US, the first Colleen Hoover novel adapted for the big screen, tells the story of Lily Bloom,... [More]","Starring: Blake Lively, Justin Baldoni, Jenny Slate, Hasan Minhaj",Directed By: Justin Baldoni
Beetlejuice (1988),  83%,"Critics Consensus: Brilliantly bizarre and overflowing with ideas, Beetlejuice offers some of Michael Keaton's most deliciously manic work - and creepy, funny fun for the whole family.","Synopsis: After Barbara (Geena Davis) and Adam Maitland (Alec Baldwin) die in a car accident, they find themselves stuck haunting their... [More]","Starring: Michael Keaton, Alec Baldwin, Geena Davis, Jeffrey Jones",Directed By: Tim Burton
Twisters (2024),  75%,"Critics Consensus: Summoning a storm of spectacle and carried along by the gale force winds of Glen Powell's charisma, Twisters' forecast is splendid with a high chance of thrills.","Synopsis: Daisy Edgar-Jones stars as Kate Cooper, a former storm chaser haunted by a devastating encounter with a tornado during her... [More]","Starring: Glen Powell, Daisy Edgar-Jones, Maura Tierney, Harry Hadden-Paton",Directed By: Lee Isaac Chung
The Front Room (2024),  49%,"Critics Consensus: The Front Room gets some mileage out of Kathryn Hunter's memorably grotesque turn as an in-law from hell, but the scatological scares in this family squabble are more off-putting than frightening.",Synopsis: Everything goes to hell for newly-pregnant Belinda (Brandy Norwood) after her mother-in-law (Kathryn Hunter) moves in. As the diabolical guest... [More],"Starring: Brandy Norwood, Andrew Burnap, Kathryn Hunter, Neal Huff","Directed By: Max Eggers, Sam Eggers"
Joker (2019),  69%,Critics Consensus: Joker gives its infamous central character a chillingly plausible origin story that serves as a brilliant showcase for its star -- and a dark evolution for comics-inspired cinema.,"Synopsis: Forever alone in a crowd, failed comedian Arthur Fleck seeks connection as he walks the streets of Gotham City. Arthur... [More]","Starring: Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy",Directed By: Todd Phillips
The Watchers, (2024)  31%,"Critics Consensus: Heavy on eerie mood but undone by an obtuse script, The Watchers can only hold the gaze for so long before tedium sets in.","Synopsis: The Watchers follows Mina, a 28-year old artist who gets stranded in an expansive, untouched forest in western Ireland. When... [More]","Starring: Dakota Fanning, Georgina Campbell, Olwen Fouéré, Oliver Finnegan",Directed By: Ishana Shyamalan
Strange Darling, (2023)  94%,Critics Consensus: JT Mollner delivers a thrillingly unexpected and electric ride with two breakout performances by Willa Fitzgerald and Kyle Gallner in Strange Darling.,"Synopsis: In Strange Darling, nothing is what it seems when a twisted one-night stand spirals into a serial killer's vicious murder... [More]","Starring: Willa Fitzgerald, Kyle Gallner, Ed Begley Jr., Barbara Hershey",Directed By: JT Mollner
AfrAId (2024),  23%,"Critics Consensus: Repeating the beats of better techno-horrors, AfrAId short circuits due to the clichéd software of its script and the uninspired hardware of its craft.","Synopsis: In AFRAID, Curtis (John Cho) and his family are selected to test a revolutionary new home device: a digital family... [More]","Starring: John Cho, Katherine Waterston, Havana Rose Liu, Lukita Maxwell",Directed By: Chris Weitz
Aloha (2015),  20%,"Critics Consensus: Meandering and insubstantial, Aloha finds writer-director Cameron Crowe at his most sentimental and least compelling.","Synopsis: While on assignment in Oahu, Hawaii, military contractor Brian Gilcrest (Bradley Cooper) reconnects with his old flame Tracy Woodside (Rachel... [More]","Starring: Bradley Cooper, Emma Stone, Rachel McAdams, Bill Murray",Directed By: Cameron Crowe
Speak No Evil (2024),  83%,"Critics Consensus: Harnessing sick suspense from the glimmer in James McAvoy's eye, Speak No Evil is the rare remake that hushes up concerns of ""been there, done that.""",Synopsis: When an American family is invited to spend the weekend at the idyllic country estate of a charming British family... [More],"Starring: James McAvoy, Mackenzie Davis, Scoot McNairy, Aisling Franciosi",Directed By: James Watkins
The Fall Guy (2024),  81%,"Critics Consensus: With action, comedy, romance, and a pair of marvelously matched stars, The Fall Guy might be the rare mainstream movie with something to entertain everyone.","Synopsis: He's a stuntman, and like everyone in the stunt community, he gets blown up, shot, crashed, thrown through windows and... [More]","Starring: Ryan Gosling, Emily Blunt, Aaron Taylor-Johnson, Stephanie Hsu",Directed By: David Leitch
The Forge (2024),  73%,Critics Consensus: No consensus yet.,"Synopsis: Isaiah Wright has some growing up to do. A year out of high school with no plans for his future,... [More]","Starring: Cameron Arnett, Priscilla C. Shirer, Aspen Kennedy Wilson, Karen Abercrombie",Directed By: Alex Kendrick
Wolfs (2024),  68%,Critics Consensus: No consensus yet.,Synopsis: Global superstars George Clooney and Brad Pitt team up for the action comedy Wolfs. Clooney plays a professional fixer hired... [More],"Starring: George Clooney, Brad Pitt, Amy Ryan, Austin Abrams",Directed By: Jon Watts
A Quiet Place: Day One (2024),  86%,"Critics Consensus: Grounded in raw humanity by Lupita Nyong'o and Joseph Quinn, this sideways entry into A Quiet Place finds fresh notes of fright to play amid the silence.",Synopsis: Experience the day the world went quiet.... [More],"Starring: Lupita Nyong'o, Joseph Quinn, Alex Wolff, Djimon Hounsou",Directed By: Michael Sarnoski
